Epoch,Training_Loss,Validation_Loss,Training_Accuracy,Validation_Accuracy,Training_Precision,Validation_Precision,Training_Recall,Validation_Recall
1,0.6720276474952698,0.6069927215576172,0.5941613912582397,0.7242562770843506,0.596271276473999,0.7355278134346008,0.5400291085243225,0.7224080562591553
2,0.6167135238647461,0.5694396495819092,0.6714367270469666,0.7288329601287842,0.6689409613609314,0.7428243160247803,0.6564774513244629,0.7212932109832764
3,0.6018074154853821,0.5641670227050781,0.6866056323051453,0.7265446186065674,0.687669575214386,0.7377979755401611,0.664046585559845,0.7246376872062683
4,0.6029360890388489,0.5683878064155579,0.6853176951408386,0.7271167039871216,0.6844776272773743,0.7386363744735718,0.6675400137901306,0.7246376872062683
5,0.5999128818511963,0.5679988265037537,0.6960503458976746,0.7259725332260132,0.6970243453979492,0.7311946749687195,0.6751091480255127,0.736900806427002
6,0.5962931513786316,0.562667965888977,0.6987693309783936,0.7259725332260132,0.7033638954162598,0.7343049049377441,0.6695778965950012,0.7302117943763733
7,0.5949743390083313,0.5643420219421387,0.6970520615577698,0.7265446186065674,0.7012828588485718,0.7383390069007874,0.6684134006500244,0.7235228419303894
8,0.5945147275924683,0.5600676536560059,0.698053777217865,0.72826087474823,0.698293924331665,0.7436489462852478,0.6791848540306091,0.7179487347602844
9,0.588141143321991,0.5572810173034668,0.7012020349502563,0.7259725332260132,0.7101404070854187,0.7380409836769104,0.6625909805297852,0.7224080562591553
10,0.5894080996513367,0.5601755976676941,0.6989124417304993,0.7328375577926636,0.7058459520339966,0.7559523582458496,0.664337694644928,0.7079152464866638
11,0.5917900800704956,0.5566132664680481,0.6914710998535156,0.7236841917037964,0.700658917427063,0.7352272868156433,0.6500727534294128,0.7212932109832764
12,0.5906606912612915,0.5555018782615662,0.7014882564544678,0.7242562770843506,0.7088881731033325,0.7360637187957764,0.6663755178451538,0.7212932109832764
13,0.5868720412254333,0.5563060641288757,0.7003434300422668,0.7379862666130066,0.7133312225341797,0.766707181930542,0.6526928544044495,0.7034559845924377
14,0.5891789197921753,0.5569173097610474,0.697910726070404,0.7379862666130066,0.7128617167472839,0.766707181930542,0.6454148292541504,0.7034559845924377
15,0.586417019367218,0.5558241009712219,0.6996279358863831,0.739130437374115,0.7197368144989014,0.7698898315429688,0.6369723677635193,0.7012262940406799
16,0.5863074064254761,0.5556629300117493,0.6997710466384888,0.7385583519935608,0.7232053279876709,0.7849740982055664,0.6305676698684692,0.6755852699279785
17,0.589988648891449,0.5522246956825256,0.700772762298584,0.7385583519935608,0.7293515205383301,0.7716049551963806,0.6221252083778381,0.6967669725418091
18,0.5896878838539124,0.5553788542747498,0.6971951723098755,0.7374141812324524,0.7212345004081726,0.7758186459541321,0.6259097456932068,0.6867335438728333
19,0.5891836285591125,0.555959165096283,0.7004865407943726,0.7397025227546692,0.7299520373344421,0.7735148668289185,0.6200873255729675,0.6967669725418091
20,0.5879236459732056,0.5570654273033142,0.6964796781539917,0.736270010471344,0.7161183953285217,0.7845953106880188,0.6337699890136719,0.6700111627578735
21,0.5857092142105103,0.5515967011451721,0.6983399987220764,0.7385583519935608,0.7234759330749512,0.7682926654815674,0.6253275275230408,0.7023411393165588
22,0.5880085229873657,0.5538024306297302,0.7012020349502563,0.739130437374115,0.724425196647644,0.7725586891174316,0.6328966617584229,0.6967669725418091
23,0.5848501920700073,0.5539491176605225,0.7044934034347534,0.739130437374115,0.7275747656822205,0.7725586891174316,0.6375545859336853,0.6967669725418091
24,0.5852794647216797,0.5577458143234253,0.7037779092788696,0.7316933870315552,0.7271214723587036,0.7876344323158264,0.6360989809036255,0.653288722038269
25,0.5873354077339172,0.5583638548851013,0.7033485770225525,0.733409583568573,0.7244561910629272,0.7916103005409241,0.6398835778236389,0.6521739363670349
26,0.5851690769195557,0.5550341606140137,0.7027761936187744,0.7408466935157776,0.7166560292243958,0.7838874459266663,0.6538573503494263,0.6833890676498413
27,0.5809786915779114,0.5543829798698425,0.7032054662704468,0.7351258397102356,0.7252565622329712,0.7870370149612427,0.6378456950187683,0.6633222103118896
28,0.5857700705528259,0.557195782661438,0.7039210200309753,0.7374141812324524,0.7239344120025635,0.7758186459541321,0.6427947878837585,0.6867335438728333
29,0.5833995342254639,0.5563309192657471,0.7057813405990601,0.733409583568573,0.7220612168312073,0.7869507074356079,0.6526928544044495,0.6588628888130188
30,0.585107684135437,0.551770031452179,0.6994848251342773,0.7408466935157776,0.7210996747016907,0.7838874459266663,0.6337699890136719,0.6833890676498413
31,0.582150399684906,0.5556691884994507,0.7097882032394409,0.7379862666130066,0.7278911471366882,0.7854356169700623,0.6541484594345093,0.6733556389808655
32,0.5838832259178162,0.5552601218223572,0.7046365141868591,0.7397025227546692,0.7279680967330933,0.7735148668289185,0.6372634768486023,0.6967669725418091
33,0.5824429392814636,0.5569134950637817,0.7060675621032715,0.736270010471344,0.7184435129165649,0.7875989675521851,0.6611353754997253,0.6655518412590027
34,0.5823574662208557,0.5538237690925598,0.7076416611671448,0.7379862666130066,0.7284963726997375,0.7699877023696899,0.6459971070289612,0.697881817817688
35,0.5807367563247681,0.5559349060058594,0.7073554396629333,0.7402746081352234,0.7216199040412903,0.7850707769393921,0.6588063836097717,0.6800445914268494
36,0.5817211270332336,0.5538411736488342,0.7073554396629333,0.7374141812324524,0.7271241545677185,0.787401556968689,0.647743821144104,0.6688963174819946
