Epoch,Training_Loss,Validation_Loss,Training_Accuracy,Validation_Accuracy,Training_Precision,Validation_Precision,Training_Recall,Validation_Recall
1,0.7286899089813232,0.6991119980812073,0.48797938227653503,0.474256306886673,0.44338876008987427,0.4860406219959259,0.16302765905857086,0.42697882652282715
2,0.6841745376586914,0.6678347587585449,0.54135662317276,0.6086956262588501,0.5276442170143127,0.5943312644958496,0.6390101909637451,0.7480490803718567
3,0.663933515548706,0.6494734287261963,0.6189181208610535,0.6916475892066956,0.5994845628738403,0.7156626582145691,0.6771470308303833,0.6622073650360107
4,0.6465250253677368,0.6323670148849487,0.6639954447746277,0.714530885219574,0.6660556197166443,0.7618421316146851,0.6346433758735657,0.6454849243164062
5,0.6336514949798584,0.6162569522857666,0.6647109389305115,0.7179633975028992,0.6766990423202515,0.7616580128669739,0.6087336540222168,0.6555184125900269
6,0.6234772205352783,0.6030671000480652,0.6644247174263,0.720251739025116,0.6774088740348816,0.7628865838050842,0.6058224439620972,0.6599776744842529
7,0.6178797483444214,0.5931202173233032,0.6595592498779297,0.722540020942688,0.6714285612106323,0.7634271383285522,0.6020378470420837,0.6655518412590027
8,0.6077110767364502,0.5847766399383545,0.6725815534591675,0.7213959097862244,0.6868686676025391,0.7562500238418579,0.6136826872825623,0.6744704842567444
9,0.6028711795806885,0.5798393487930298,0.6755867004394531,0.7242562770843506,0.6896103620529175,0.7800269722938538,0.6183406114578247,0.6443701386451721
10,0.6027422547340393,0.5747821927070618,0.6745849847793579,0.7236841917037964,0.6911425590515137,0.7581047415733337,0.6110625863075256,0.6778149604797363
11,0.5979984402656555,0.5709836483001709,0.6801660060882568,0.7236841917037964,0.704081654548645,0.7600502371788025,0.6026200652122498,0.6744704842567444
12,0.5956115126609802,0.5689229965209961,0.6774470806121826,0.7231121063232422,0.6982209086418152,0.7604035139083862,0.6055312752723694,0.6722407937049866
13,0.5968087911605835,0.5684949159622192,0.679450511932373,0.7294050455093384,0.6988352537155151,0.7796833515167236,0.6113536953926086,0.6588628888130188
